target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
3035,GraceG,F,1994,Manchester,TRAP,and,981.373,981.483,M,N,735.1,1670.1,2948.2
3036,GraceG,F,1994,Manchester,GOAT,phoned,985.277,985.397,F,N,646.4,1258.1,2918.4
3037,GraceG,F,1994,Manchester,FACE,day,985.718,985.767,D,AE1,668.2,2117,3998.3
3038,GraceG,F,1994,Manchester,FLEECE,he,986.708,986.748,HH,HH,584.7,2468.5,3223.5
3039,GraceG,F,1994,Manchester,TRAP,had,986.798,986.838,HH,D,656.4,1765.3,2947.5
3040,GraceG,F,1994,Manchester,NORTH,bought,987.168,987.407,B,T,812.4,1256.3,2710.5
3041,GraceG,F,1994,Manchester,PRICE,like,988.858,988.988,L,K,798.7,1575.6,2980.3
3042,GraceG,F,1994,Manchester,TRAP,and,990.603,990.773,AH0,N,803.8,1453.6,2892.8
3043,GraceG,F,1994,Manchester,LOT,calm,993.673,993.723,K,M,338.2,1161.2,1534
3044,GraceG,F,1994,Manchester,MOUTH,down,993.913,993.943,D,N,999.2,1529.9,2632.3
3045,GraceG,F,1994,Manchester,DRESS,then,995.028,995.138,DH,N,673.9,1933.4,3117
3046,GraceG,F,1994,Manchester,FLEECE,me,995.827,995.858,M,SP,747.6,1799.4,2815.6
3047,GraceG,F,1994,Manchester,FLEECE,he,998.007,998.068,HH,L,413.6,2273.4,3085.7
3048,GraceG,F,1994,Manchester,KIT,literally,998.108,998.207,L,T,510.7,1919.8,3333.2
3049,GraceG,F,1994,Manchester,FLEECE,me,998.747,998.777,M,F,447.4,1665.7,2430.1
3050,GraceG,F,1994,Manchester,TRAP,plan,1000.058,1000.128,L,N,464.9,1126.8,1758.1
3051,GraceG,F,1994,Manchester,GOOSE,do,1001.398,1001.497,D,AH0,439,2203.1,4376.9
3052,GraceG,F,1994,Manchester,DRESS,everything,1002.927,1003.008,UW1,V,579.5,1648.7,2459.8
3053,GraceG,F,1994,Manchester,KIT,everything,1003.138,1003.167,TH,N,335.7,2017.8,3458.7
3054,GraceG,F,1994,Manchester,FOOT,you,1003.397,1003.427,Y,W,515.2,1547.1,2278.1
3055,GraceG,F,1994,Manchester,STRUT,was,1003.987,1004.378,W,Z,762.6,1410.2,2656.2
3056,GraceG,F,1994,Manchester,PRICE,nice,1005.098,1005.128,N,S,395.1,1661.8,2783.7
3057,GraceG,F,1994,Manchester,KIT,year,1017.082,1017.182,Y,R,560.8,2400.1,4413.7
